GS Name,Start,Stop,Duration [sec],Min L.M. [dB],Max L.M. [dB],Data [MB]
UAE-01,2026-01-04 23:26:34.034,2026-01-04 23:31:24.034,280.0,4.215644444036236,6.419798659490731,2.688
IT-01,2026-01-05 00:56:54.034,2026-01-05 01:04:12.034,428.0,4.45464756453034,11.174796536171606,4.1088
IT-01,2026-01-05 02:32:10.034,2026-01-05 02:38:12.034,352.0,4.435648682399325,8.165216899136759,3.3792
SK-01,2026-01-05 03:44:38.034,2026-01-05 03:49:18.034,270.0,4.533432286656684,6.562073612616011,2.592
CHL-01,2026-01-05 04:36:04.034,2026-01-05 04:42:34.034,380.0,4.548234437600378,9.06860563572365,3.648
AU-01,2026-01-05 05:00:20.034,2026-01-05 05:08:06.034,456.0,4.576721533253497,14.422865384005952,4.3776
SK-01,2026-01-05 05:17:56.034,2026-01-05 05:25:04.034,418.0,4.544788114159154,10.973479114582481,4.0128
CHL-01,2026-01-05 06:10:10.034,2026-01-05 06:17:48.034,448.0,4.54561080000466,12.474441322535917,4.3008
USA-01,2026-01-05 08:58:58.034,2026-01-05 09:06:52.034,464.0,4.551093419016389,15.051419972357685,4.4544
UAE-01,2026-01-05 10:02:22.034,2026-01-05 10:10:14.034,462.0,4.373484298659811,15.682014417800026,4.4352
IT-01,2026-01-05 11:44:50.034,2026-01-05 11:51:34.034,394.0,4.542207302769519,9.95914799255987,3.7824
IT-01,2026-01-05 13:19:44.034,2026-01-05 13:26:16.034,382.0,4.525869098727718,9.178153954552677,3.6672
AU-01,2026-01-05 15:41:26.034,2026-01-05 15:46:12.034,276.0,4.415296864646031,6.431087225013933,2.6496
SK-01,2026-01-05 16:57:40.034,2026-01-05 17:04:54.034,424.0,4.398314022811967,10.825288168942272,4.0704
AU-01,2026-01-05 17:14:56.034,2026-01-05 17:21:48.034,402.0,4.4582582702876365,9.700047916592247,3.8592
CHL-01,2026-01-05 17:42:18.034,2026-01-05 17:47:18.034,290.0,4.5957790015152185,6.776937367357782,2.784
SK-01,2026-01-05 18:33:22.034,2026-01-05 18:38:16.034,284.0,4.420921779961638,6.624888156412176,2.7264
CHL-01,2026-01-05 19:16:08.034,2026-01-05 19:23:58.034,460.0,4.606806886622827,14.738198136893764,4.416
USA-01,2026-01-05 19:40:00.034,2026-01-05 19:47:02.034,412.0,4.611437799287067,10.81764199647322,3.9552
CHL-01,2026-01-05 20:53:48.034,2026-01-05 20:54:24.034,26.0,4.5860020820498235,4.614115422023595,0.2496
USA-01,2026-01-05 21:16:30.034,2026-01-05 21:20:16.034,216.0,4.618918247561616,5.81053651611942,2.0736
UAE-01,2026-01-05 21:48:44.034,2026-01-05 21:55:00.034,366.0,4.214141303981144,8.300733968995864,3.5136
UAE-01,2026-01-05 23:23:52.034,2026-01-05 23:29:04.034,302.0,4.218411063582103,6.829908345449233,2.8992
IT-01,2026-01-06 00:54:24.034,2026-01-06 01:01:36.034,422.0,4.446832386651501,10.766144059634875,4.0512
IT-01,2026-01-06 02:29:34.034,2026-01-06 02:35:46.034,362.0,4.4582140662504415,8.491008640183743,3.4752
SK-01,2026-01-06 03:42:18.034,2026-01-06 03:46:36.034,248.0,4.5387323680973495,6.216419439641648,2.3808
CHL-01,2026-01-06 04:33:36.034,2026-01-06 04:39:58.034,372.0,4.512858125345836,8.79349638920889,3.5712
AU-01,2026-01-06 04:57:48.034,2026-01-06 05:05:32.034,454.0,4.519690678916724,13.953733142591027,4.3584
SK-01,2026-01-06 05:15:18.034,2026-01-06 05:22:34.034,426.0,4.502237731378308,11.446881380663818,4.0896
CHL-01,2026-01-06 06:07:34.034,2026-01-06 06:15:16.034,452.0,4.506871622559281,12.834671633608373,4.3392
USA-01,2026-01-06 08:56:24.034,2026-01-06 09:04:22.034,468.0,4.511738381641912,15.326069821054737,4.4928
UAE-01,2026-01-06 09:59:50.034,2026-01-06 10:07:42.034,462.0,4.373028692650571,15.672325589504617,4.4352
IT-01,2026-01-06 11:42:22.034,2026-01-06 11:48:58.034,386.0,4.549328058382436,9.594961641109954,3.7056
